n_true_parents,n_detected_in_top,n_detected_in_extended,top_cut_score,extended_cut_score,n_not_in_inferred,detected_top,detected_extended,parent_scores
3,3,3,0.0952380952380952,0.0476190476190476,0,"G1, G2, G3","G1, G2, G3",G1=0.0952; G2=0.4762; G3=0.5238
3,1,2,0.19047619047619,0.0952380952380952,0,G1,"G1, G2",G1=0.1905; G2=0.0952; G3=0.0476
3,3,3,0.142857142857143,0.0952380952380952,0,"G1, G2, G3","G1, G2, G3",G1=0.5238; G2=0.1429; G3=0.3333
3,2,3,0.0952380952380952,0.0476190476190476,0,"G2, G3","G1, G2, G3",G1=0.0476; G2=0.0952; G3=0.9048
3,3,3,0.0952380952380952,0.0476190476190476,0,"G1, G2, G3","G1, G2, G3",G1=0.0952; G2=0.0952; G3=0.9048
3,2,2,0.142857142857143,0.0952380952380952,0,"G1, G3","G1, G3",G1=0.3333; G2=0.0476; G3=0.619
3,1,3,0.0952380952380952,0.0476190476190476,0,G2,"G1, G2, G3",G1=0.0476; G2=0.8571; G3=0.0476
3,2,3,0.0952380952380952,0.0476190476190476,0,"G2, G3","G1, G2, G3",G1=0.0476; G2=0.0952; G3=0.381
3,2,2,0.142857142857143,0.0952380952380952,0,"G1, G3","G1, G3",G1=0.4762; G2=0.0476; G3=0.5238
3,3,3,0.142857142857143,0.0952380952380952,0,"G1, G2, G3","G1, G2, G3",G1=0.5238; G2=0.1429; G3=0.4286
3,2,2,0.142857142857143,0.0952380952380952,1,"G1, G3","G1, G3",G1=0.6667; G2=NA; G3=0.3333
3,2,2,0.238095238095238,0.19047619047619,0,"G2, G3","G2, G3",G1=0.0476; G2=0.2381; G3=0.2857
3,2,2,0.0952380952380952,0.0476190476190476,1,"G1, G3","G1, G3",G1=0.2857; G2=NA; G3=0.7143
3,3,3,0.19047619047619,0.142857142857143,0,"G1, G2, G3","G1, G2, G3",G1=0.6667; G2=0.1905; G3=0.1905
3,1,2,0.0952380952380952,0.0476190476190476,1,G2,"G1, G2",G1=0.0476; G2=0.5714; G3=NA
3,2,3,0.0952380952380952,0.0476190476190476,0,"G2, G3","G1, G2, G3",G1=0.0476; G2=0.0952; G3=0.8095
3,2,3,0.0952380952380952,0.0476190476190476,0,"G2, G3","G1, G2, G3",G1=0.0476; G2=0.7619; G3=0.2857
3,2,2,0.142857142857143,0.0952380952380952,0,"G1, G2","G1, G2",G1=0.4286; G2=0.5714; G3=0.0476
3,1,1,0.142857142857143,0.0952380952380952,1,G3,G3,G1=0.0476; G2=NA; G3=0.4286
3,2,3,0.0952380952380952,0.0476190476190476,0,"G1, G3","G1, G2, G3",G1=0.7143; G2=0.0476; G3=0.3333
3,3,3,0.0952380952380952,0.0476190476190476,0,"G1, G2, G3","G1, G2, G3",G1=0.5714; G2=0.0952; G3=0.4286
3,3,3,0.0952380952380952,0.0476190476190476,0,"G1, G2, G3","G1, G2, G3",G1=0.0952; G2=0.381; G3=0.619
3,1,2,0.238095238095238,0.19047619047619,0,G3,"G1, G3",G1=0.1905; G2=0.1429; G3=0.2857
3,3,3,0.238095238095238,0.19047619047619,0,"G1, G2, G3","G1, G2, G3",G1=0.3333; G2=0.2381; G3=0.619
3,2,3,0.0952380952380952,0.0476190476190476,0,"G1, G2","G1, G2, G3",G1=0.4286; G2=0.5714; G3=0.0476
3,3,3,0.0476190476190476,0.0476190476190476,0,"G1, G2, G3","G1, G2, G3",G1=0.0952; G2=0.0476; G3=0.9524
3,0,0,0.19047619047619,0.142857142857143,3,"","",G1=NA; G2=NA; G3=NA
3,2,3,0.0952380952380952,0.0476190476190476,0,"G2, G3","G1, G2, G3",G1=0.0476; G2=0.4762; G3=0.5238
3,3,3,0.0952380952380952,0.0476190476190476,0,"G1, G2, G3","G1, G2, G3",G1=0.0952; G2=0.0952; G3=0.9524
3,2,2,0.19047619047619,0.142857142857143,1,"G1, G3","G1, G3",G1=0.5714; G2=NA; G3=0.4286
3,2,2,0.0952380952380952,0.0476190476190476,1,"G1, G3","G1, G3",G1=0.8571; G2=NA; G3=0.1429
3,1,1,0.19047619047619,0.142857142857143,1,G1,G1,G1=0.5238; G2=NA; G3=0.0476
3,2,3,0.142857142857143,0.0952380952380952,0,"G1, G2","G1, G2, G3",G1=0.1429; G2=0.3333; G3=0.0952
3,2,2,0.142857142857143,0.0952380952380952,1,"G1, G2","G1, G2",G1=0.381; G2=0.5714; G3=NA
3,2,3,0.0952380952380952,0.0476190476190476,0,"G1, G3","G1, G2, G3",G1=0.0952; G2=0.0476; G3=0.2381
3,2,2,0.0952380952380952,0.0476190476190476,1,"G2, G3","G2, G3",G1=NA; G2=0.2857; G3=0.8095
3,2,3,0.0952380952380952,0.0476190476190476,0,"G1, G2","G1, G2, G3",G1=0.9048; G2=0.1429; G3=0.0476
3,2,2,0.142857142857143,0.0952380952380952,0,"G2, G3","G2, G3",G1=0.0476; G2=0.4762; G3=0.5238
3,2,2,0.238095238095238,0.142857142857143,0,"G1, G3","G1, G3",G1=0.2857; G2=0.0476; G3=0.2381
3,2,2,0.0952380952380952,0.0476190476190476,1,"G2, G3","G2, G3",G1=NA; G2=0.0952; G3=0.5238
3,2,3,0.0952380952380952,0.0476190476190476,0,"G1, G3","G1, G2, G3",G1=0.619; G2=0.0476; G3=0.381
3,2,2,0.19047619047619,0.142857142857143,1,"G2, G3","G2, G3",G1=NA; G2=0.1905; G3=0.6667
3,1,1,0.142857142857143,0.0952380952380952,1,G2,G2,G1=0.0476; G2=0.5238; G3=NA
3,2,3,0.238095238095238,0.0952380952380952,0,"G1, G2","G1, G2, G3",G1=0.2381; G2=0.4286; G3=0.0952
3,3,3,0.0476190476190476,0.0476190476190476,0,"G1, G2, G3","G1, G2, G3",G1=1; G2=0.0476; G3=0.0952
3,1,1,0.19047619047619,0.142857142857143,0,G3,G3,G1=0.0476; G2=0.0476; G3=0.2857
3,3,3,0.285714285714286,0.142857142857143,0,"G1, G2, G3","G1, G2, G3",G1=0.2857; G2=0.2857; G3=0.4286
3,0,0,0.238095238095238,0.19047619047619,0,"","",G1=0.0476; G2=0.0952; G3=0.0476
